,player_name,kills,deaths,wins,losess,xp,headshots,melee_kills,games_played,time_played
222,CIutch-DMC,"30,043","19,463","3,265","1,624","71,766,905","11,922",527,"4,889","1,562h"
223,Lesi_10,"18,724","16,796","2,200","1,635","47,468,408","7,668",515,"3,835","1,138h"
224,RedaaaLDX,"43,912","33,367","5,200","3,032","113,762,248","16,844",439,"8,232","2,615h"
225,tpurroK,"3,843","2,631",415,260,"8,715,379","1,504",13,675,198h
226,Gildino,"40,415","27,968","4,817","2,825","105,783,143","14,754",489,"7,642","2,392h"
227,Rexpra,"12,098","11,568","1,649","1,408","34,622,256","4,591",188,"3,057",852h
228,Scarrow__,"29,530","21,565","3,355","1,901","76,363,420","11,850",539,"5,256","1,725h"
229,xImBrOz,"24,082","22,846","2,939","2,074","72,532,794","8,781",505,"5,013","1,624h"
230,AD-Magnus,"5,658","4,763",823,569,"16,886,322","2,487",96,"1,392",439h
231,DeputyNick,"28,013","23,846","3,157","1,920","66,044,232","11,596",307,"5,077","1,670h"
232,Timjdo,"10,066","7,465","1,434",519,"26,236,759","3,181",79,"1,953",621h
233,Wal3sa-,"23,992","17,003","2,762","1,445","64,920,685","8,988",301,"4,207","1,363h"
234,wnpp,"47,159","40,511","5,281","3,484","122,254,830","18,568",855,"8,765","2,734h"
235,loubs24,"11,950","9,665","1,410",880,"35,443,231","4,772",125,"2,290",716h
236,RmsHjRboo3,"18,073","17,417","2,578","1,854","54,836,272","6,912",287,"4,432","1,279h"
237,Friqzal,"32,792","28,842","3,666","3,145","85,886,193","12,421","1,285","6,811","2,028h"
238,BrianQz,"42,172","33,215","4,525","3,376","96,265,993","16,767",705,"7,901","2,304h"
239,Choznn,"19,027","10,812","2,263",591,"44,397,974","7,334",43,"2,854",903h
240,ChrjstianDior,"48,061","45,815","6,099","4,585","132,868,816","20,007",675,"10,684","3,438h"
241,SMG-ONE,"36,105","26,720","4,518","2,216","92,892,801","11,078",834,"6,734","2,204h"
242,A_Glue_Bottle,"43,694","38,309","4,849","3,815","115,309,599","17,385",542,"8,664","2,819h"
243,xxTetris,"20,207","15,138","2,610","1,087","57,723,431","7,269",228,"3,697","1,225h"
